mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
|  57421 |    1 |
|  57422 |    1 |
|  57655 |    1 |
|  57656 |    1 |
|  57657 |    1 |
|  57691 |    1 |
|  57692 |    1 |
|  57696 |    1 |
|  60304 |    1 |
|  60305 |    1 |
|  64734 |    1 |
|  64737 |    1 |
|  65222 |    1 |
|  65223 |    1 |
|  65227 |    1 |
|  66942 |    1 |
|  66943 |    1 |
|  66944 |    1 |
|  66945 |    1 |
|  67939 |    1 |
|  67940 |    1 |
|  67942 |    1 |
|  67976 |    1 |
|  67979 |    1 |
|  67980 |    1 |
|  68085 |    1 |
|  68088 |    1 |
|  68210 |    1 |
|  68215 |    1 |
|  68216 |    1 |
|  69001 |    1 |
|  69002 |    1 |
|  69004 |    1 |
|  69243 |    1 |
|  69245 |    1 |
|  69964 |    1 |
|  69965 |    1 |
|  69966 |    1 |
|  70420 |    1 |
|  70421 |    1 |
|  70422 |    1 |
|  70423 |    1 |
|  70424 |    1 |
|  71143 |    1 |
|  71144 |    1 |
|  71145 |    1 |
|  71166 |    1 |
|  71167 |    1 |
|  71168 |    1 |
|  71274 |    1 |
|  71275 |    1 |
|  71276 |    1 |
|  71277 |    1 |
|  71717 |    1 |
|  71718 |    1 |
|  71719 |    1 |
|  72018 |    1 |
|  72019 |    1 |
|  72020 |    1 |
|  72247 |    1 |
|  72248 |    1 |
|  72249 |    1 |
|  72377 |    1 |
|  72378 |    1 |
|  72381 |    1 |
|  72643 |    1 |
|  72644 |    1 |
|  72645 |    1 |
|  72646 |    1 |
|  72647 |    1 |
|  72705 |    1 |
|  72706 |    1 |
|  72707 |    1 |
|  72773 |    1 |
|  72774 |    1 |
|  72775 |    1 |
|  72827 |    1 |
|  72828 |    1 |
|  72829 |    1 |
|  72841 |    1 |
|  72842 |    1 |
|  72843 |    1 |
|  72844 |    1 |
|  72845 |    1 |
|  73360 |    1 |
|  73361 |    1 |
|  73363 |    1 |
|  75797 |    1 |
|  75798 |    1 |
|  75799 |    1 |
|  75800 |    1 |
|  75801 |    1 |
|  77647 |    1 |
|  77648 |    1 |
|  77652 |    1 |
|  77653 |    1 |
|  77778 |    1 |
|  77779 |    1 |
|  77780 |    1 |
|  78688 |    1 |
|  78689 |    1 |
|  78690 |    1 |
|  78831 |    1 |
|  78832 |    1 |
|  79043 |    1 |
|  79044 |    1 |
|  79290 |    1 |
|  79291 |    1 |
|  80252 |    1 |
|  80253 |    1 |
|  80255 |    1 |
|  80257 |    1 |
|  80260 |    1 |
|  80261 |    1 |
|  80262 |    1 |
|  80263 |    1 |
